,school,age,address,famsize,Pstatus,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,health,absences,G1,G2,G3,non_study_time,grade,GPA,Alcohol_Consumption,Parental_Education,age_standardized,studytime_standardized,GPA_standardized,absences_standardized,sex_M
0,GP,18,U,GT3,A,at_home,teacher,course,mother,2,2,0,1,0,0,0,1,1,0,0,4,3,6,5,6,6,4,E,4,1,4,1.0217506382926023,-0.042232285573419244,-1.3675507666531237,0.03637832807313696,0
1,GP,17,U,GT3,T,at_home,other,course,father,1,2,0,0,1,0,0,0,1,1,0,5,3,4,5,5,6,3,E,4,1,1,0.23807781863128694,-0.042232285573419244,-1.3675507666531237,-0.21352496912493457,0
2,GP,15,U,LE3,T,at_home,other,other,mother,1,2,3,1,0,1,0,1,1,1,0,4,3,10,7,8,10,2,D,5,2,1,-1.3292678206913437,-0.042232285573419244,-0.6265596105104847,0.5361849224692801,0
3,GP,15,U,GT3,T,health,services,home,mother,1,3,0,0,1,1,1,1,1,1,1,3,5,2,15,14,15,2,B,7,1,3,-1.3292678206913437,1.1493214859623315,0.8554227017747934,-0.4634282663230061,0
4,GP,16,U,GT3,T,other,other,home,father,1,2,0,0,1,1,0,1,1,0,0,4,5,4,6,10,10,2,D,5,2,3,-0.5455950010300283,-0.042232285573419244,-0.6265596105104847,-0.21352496912493457,0
5,GP,16,U,LE3,T,services,other,reputation,mother,1,2,0,0,1,1,1,1,1,1,0,5,5,10,15,15,15,3,B,7,2,4,-0.5455950010300283,-0.042232285573419244,0.8554227017747934,0.5361849224692801,1
6,GP,16,U,LE3,T,other,other,home,mother,1,2,0,0,0,0,0,1,1,1,0,4,3,0,12,12,11,4,C,6,1,2,-0.5455950010300283,-0.042232285573419244,0.11443154563215434,-0.7133315635210776,1
7,GP,17,U,GT3,A,other,teacher,home,mother,2,2,0,1,1,0,0,1,1,0,0,4,1,6,6,5,6,2,E,4,1,4,0.23807781863128694,-0.042232285573419244,-1.3675507666531237,0.03637832807313696,0
8,GP,15,U,LE3,A,services,other,home,mother,1,2,0,0,1,1,0,1,1,1,0,4,1,0,16,18,19,2,AB,8,1,2,-1.3292678206913437,-0.042232285573419244,1.5964138579174325,-0.7133315635210776,1
9,GP,15,U,GT3,T,other,other,home,mother,1,2,0,0,1,1,1,1,1,1,0,5,5,0,14,15,15,3,B,7,1,4,-1.3292678206913437,-0.042232285573419244,0.8554227017747934,-0.7133315635210776,1
10,GP,15,U,GT3,T,teacher,health,reputation,mother,1,2,0,0,1,1,0,1,1,1,0,3,2,0,10,8,9,3,D,5,2,4,-1.3292678206913437,-0.042232285573419244,-0.6265596105104847,-0.7133315635210776,0
11,GP,15,U,GT3,T,services,other,reputation,father,3,3,0,0,1,0,1,1,1,1,0,5,4,4,10,12,12,2,C,6,1,2,-1.3292678206913437,1.1493214859623315,0.11443154563215434,-0.21352496912493457,0
12,GP,15,U,LE3,T,health,services,course,father,1,1,0,0,1,1,1,1,1,1,0,4,5,2,14,14,14,3,B,7,2,4,-1.3292678206913437,-1.23378605710917,0.8554227017747934,-0.4634282663230061,1
13,GP,15,U,GT3,T,teacher,other,course,mother,2,2,0,0,1,1,0,1,1,1,0,5,3,2,10,10,11,4,C,6,2,4,-1.3292678206913437,-0.042232285573419244,0.11443154563215434,-0.4634282663230061,1
14,GP,15,U,GT3,A,other,other,home,other,1,3,0,0,1,0,0,1,1,1,1,4,3,0,14,16,16,4,B,7,1,2,-1.3292678206913437,1.1493214859623315,0.8554227017747934,-0.7133315635210776,1
15,GP,16,U,GT3,T,health,other,home,mother,1,1,0,0,1,0,0,1,1,1,0,4,2,4,14,14,14,4,B,7,2,4,-0.5455950010300283,-1.23378605710917,0.8554227017747934,-0.21352496912493457,0
16,GP,16,U,GT3,T,services,services,reputation,mother,1,3,0,0,1,1,1,1,1,1,0,3,2,6,13,14,14,2,B,7,2,4,-0.5455950010300283,1.1493214859623315,0.8554227017747934,0.03637832807313696,0
17,GP,16,U,GT3,T,other,other,reputation,mother,3,2,0,1,1,0,1,1,1,0,0,5,4,4,8,10,10,2,D,5,1,3,-0.5455950010300283,-0.042232285573419244,-0.6265596105104847,-0.21352496912493457,0
18,GP,17,U,GT3,T,services,services,course,mother,1,1,3,0,1,0,1,1,1,1,0,5,5,16,6,5,5,5,E,4,3,2,0.23807781863128694,-1.23378605710917,-1.3675507666531237,1.2858948140634945,1
19,GP,16,U,LE3,T,health,other,home,father,1,1,0,0,0,1,1,1,1,1,0,3,5,4,8,10,10,2,D,5,2,4,-0.5455950010300283,-1.23378605710917,-0.6265596105104847,-0.21352496912493457,1
20,GP,15,U,GT3,T,teacher,other,reputation,mother,1,2,0,0,0,0,0,1,1,1,0,4,1,0,13,14,15,2,B,7,1,4,-1.3292678206913437,-0.042232285573419244,0.8554227017747934,-0.7133315635210776,1
21,GP,15,U,GT3,T,health,health,other,father,1,1,0,0,1,1,0,1,1,1,0,5,5,0,12,15,15,3,B,7,1,4,-1.3292678206913437,-1.23378605710917,0.8554227017747934,-0.7133315635210776,1
22,GP,16,U,LE3,T,teacher,other,course,mother,1,2,0,0,0,0,1,1,1,1,0,4,5,2,15,15,16,3,B,7,2,3,-0.5455950010300283,-0.042232285573419244,0.8554227017747934,-0.4634282663230061,1
23,GP,16,U,LE3,T,other,other,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,5,5,0,13,13,12,4,B,7,3,2,-0.5455950010300283,-0.042232285573419244,0.8554227017747934,-0.7133315635210776,1
24,GP,15,R,GT3,T,services,health,course,mother,1,3,0,1,1,1,1,1,1,1,0,4,5,2,10,9,8,2,D,5,1,3,-1.3292678206913437,1.1493214859623315,-0.6265596105104847,-0.4634282663230061,0
25,GP,16,U,GT3,T,services,services,home,mother,1,1,2,0,1,1,0,0,1,1,0,1,5,14,6,9,8,2,D,5,2,2,-0.5455950010300283,-1.23378605710917,-0.6265596105104847,1.035991516865423,0
26,GP,15,U,GT3,T,other,other,home,mother,1,1,0,0,1,1,0,1,1,1,0,4,5,2,12,12,11,2,C,6,2,2,-1.3292678206913437,-1.23378605710917,0.11443154563215434,-0.4634282663230061,1
27,GP,15,U,GT3,T,health,services,other,mother,1,1,0,0,0,1,0,1,1,1,0,2,1,4,15,16,15,3,B,7,3,3,-1.3292678206913437,-1.23378605710917,0.8554227017747934,-0.21352496912493457,1
28,GP,16,U,LE3,A,services,other,home,mother,1,2,0,1,1,0,1,1,1,1,0,5,5,4,11,11,11,3,C,6,1,4,-0.5455950010300283,-0.042232285573419244,0.11443154563215434,-0.21352496912493457,1
29,GP,16,U,GT3,T,teacher,teacher,home,mother,1,2,0,0,1,1,1,1,1,1,1,4,5,16,10,12,11,4,C,6,5,4,-0.5455950010300283,-0.042232285573419244,0.11443154563215434,1.2858948140634945,1
30,GP,15,U,GT3,T,health,services,home,mother,1,2,0,0,1,1,0,0,1,1,0,5,5,0,9,11,12,3,C,6,4,4,-1.3292678206913437,-0.042232285573419244,0.11443154563215434,-0.7133315635210776,1
31,GP,15,U,GT3,T,services,services,reputation,mother,2,2,0,0,1,0,1,1,1,1,0,4,5,0,17,16,17,2,AB,8,1,4,-1.3292678206913437,-0.042232285573419244,1.5964138579174325,-0.7133315635210776,1
32,GP,15,R,GT3,T,teacher,at_home,course,mother,1,2,0,0,1,0,1,1,1,1,1,4,5,0,17,16,16,4,AB,8,1,4,-1.3292678206913437,-0.042232285573419244,1.5964138579174325,-0.7133315635210776,1
33,GP,15,U,LE3,T,other,other,course,mother,1,2,0,0,0,0,1,0,1,1,0,5,2,0,8,10,12,2,C,6,1,3,-1.3292678206913437,-0.042232285573419244,0.11443154563215434,-0.7133315635210776,1
34,GP,16,U,GT3,T,other,other,home,mother,1,1,0,0,1,1,0,0,1,1,0,5,5,0,12,14,15,4,B,7,1,2,-0.5455950010300283,-1.23378605710917,0.8554227017747934,-0.7133315635210776,1
35,GP,15,U,GT3,T,other,other,other,father,2,1,0,0,1,0,1,1,1,0,0,3,5,0,8,7,6,3,D,5,1,2,-1.3292678206913437,-1.23378605710917,-0.6265596105104847,-0.7133315635210776,0
36,GP,15,U,LE3,T,teacher,services,home,mother,1,3,0,0,1,0,1,1,1,1,0,5,4,2,15,16,18,4,AB,8,1,4,-1.3292678206913437,1.1493214859623315,1.5964138579174325,-0.4634282663230061,1
37,GP,16,R,GT3,A,other,teacher,reputation,mother,2,3,0,0,1,0,1,1,1,1,1,2,5,7,15,16,15,4,B,7,1,4,-0.5455950010300283,1.1493214859623315,0.8554227017747934,0.16132997667217272,1
